issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
71,57,n (f) n (nt),| **n (f) n (nt)**     | E-Mail                                | e-mail                                         |,ErrorCategory.CONSISTENCY_ERROR,90,The gender notation 'n (f) n (nt)' for 'E-Mail' is inconsistent; 'E-Mail' is typically feminine in German (die E-Mail).
72,57,Esszimmer das,| n (f)            | **Esszimmer das**                         | dining room                                    |,ErrorCategory.CONSISTENCY_ERROR,90,"The definite article 'das' is inconsistently included with the German noun 'Esszimmer', unlike other neuter nouns in the list."
73,57,n (nt),| **n (nt)**           | Frucht                                | fruit                                          |,ErrorCategory.FACTUAL_INACCURACY,95,"The German noun 'Frucht' is feminine (die Frucht), not neuter."
74,57,n (f),| **n (f)**            | Geschwister                           | brothers and sisters                           |,ErrorCategory.FACTUAL_INACCURACY,95,"The German noun 'Geschwister' is plural, not feminine singular."
75,57,n (f),| **n (f)**            | Großeltern                            | grandparents                                   |,ErrorCategory.FACTUAL_INACCURACY,95,"The German noun 'Großeltern' is plural, not feminine singular."
76,57,Horror film,| n (m)            | Horrorfilm                            | **Horror film**                                    |,ErrorCategory.STYLISTIC_PREFERENCE,80,"In British English, 'horror film' is often written as a single compound word 'horrorfilm' or 'horror-film'."
77,57,waiter,| n (m) / n (f)    | Kellner / Kellnerin                   | **waiter**                                     |,ErrorCategory.STYLISTIC_PREFERENCE,85,"To reflect the gendered German terms 'Kellner / Kellnerin', the English equivalent should ideally be 'waiter / waitress' or a gender-neutral term like 'waiting staff'."
78,57,n (f),| **n (f)**            | Kinder                                | children                                       |,ErrorCategory.FACTUAL_INACCURACY,95,"The German noun 'Kinder' is plural, not feminine singular."
79,57,Kirsch,| n (f)            | **Kirsch**                                | cherry                                         |,ErrorCategory.FACTUAL_INACCURACY,95,"The German noun for 'cherry' is 'Kirsche' (feminine), not 'Kirsch', which typically refers to cherry brandy."
80,57,kosten,| n (pl)           | **kosten**                                | costs                                          |,ErrorCategory.FACTUAL_INACCURACY,95,'kosten' is a verb ('to cost'); the German noun for 'costs' is 'Kosten' (plural).
81,57,Love film,| n (m)            | Liebesfilm                            | **Love film**                                    |,ErrorCategory.STYLISTIC_PREFERENCE,80,"In British English, 'love film' is typically written with a lowercase 'l' or as a hyphenated compound 'love-film'."
82,57,butchers,| n (f)            | Metzgerei                             | **butchers**                                   |,ErrorCategory.SPELLING_ERROR,90,"The English equivalent for 'Metzgerei' (a butcher's shop) should be 'butcher's' with an apostrophe, indicating possession."
83,75,Nicolas',| n (m)         | Sankt Nikolaus Tag            | St **Nicolas'** Day (6th December) |,ErrorCategory.SPELLING_ERROR,95,"The correct English spelling for the saint's name is 'Nicholas', not 'Nicolas'."
84,75,drum,| n (nt)        | Schlagzeug                    | **drum**                           |,ErrorCategory.STYLISTIC_PREFERENCE,85,"For the German 'Schlagzeug' (a drum kit), the more appropriate English translation is 'drums' (plural) or 'drum kit', rather than the singular 'drum'."
85,82,Zigarettte,| n (f)         | **Zigarettte**            | cigarette             |,ErrorCategory.SPELLING_ERROR,95,The correct German spelling is 'Zigarette' (Duden).
86,83,namlich,"| **namlich** | you see, namely    |",ErrorCategory.SPELLING_ERROR,95,The correct German spelling requires an umlaut: 'nämlich' (Duden).
87,83,answering a question,| eine Frage beantworten | (to) answer **answering a question**             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'answering a question' is redundant when the infinitive '(to) answer a question' is already provided as the English equivalent.
88,83,asking a question,| eine Frage stellen     | (to) ask **asking a question**                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'asking a question' is redundant when the infinitive '(to) ask a question' is already provided as the English equivalent.
89,83,printing (out),| (aus) drücken                                              | (to) print (out)   **printing (out)**                                                                                                                                                                                                                     |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'printing (out)' is redundant when the infinitive '(to) print (out)' is already provided as the English equivalent.
90,83,departing,| abfahren                                                   | (to) depart   **departing**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'departing' is redundant when the infinitive '(to) depart' is already provided as the English equivalent.
91,83,taking off,| abfliegen                                                  | (to) take off   **taking off**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'taking off' is redundant when the infinitive '(to) take off' is already provided as the English equivalent.
92,83,"giving in, handing in, submitting","| abgeben                                                    | (to) give in, hand in, submit   **giving in, handing in, submitting**                                                                                                                                                                                     |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
93,83,"losing weight, decreasing, reducing","| abnehmen                                                   | (to) lose weight, decrease, reduce   **losing weight, decreasing, reducing**                                                                                                                                                                              |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
94,83,accepting,| akzeptieren                                                | (to) accept   **accepting**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'accepting' is redundant when the infinitive '(to) accept' is already provided as the English equivalent.
95,83,arriving,| ankommen                                                   | (to) arrive   **arriving**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'arriving' is redundant when the infinitive '(to) arrive' is already provided as the English equivalent.
96,83,calling,| anrufen                                                    | (to) call   **calling**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'calling' is redundant when the infinitive '(to) call' is already provided as the English equivalent.
97,83,"looking at, watching","| ansehen                                                    | (to) look at, watch   **looking at, watching**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
98,83,answering,| antworten                                                  | (to) answer   **answering**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'answering' is redundant when the infinitive '(to) answer' is already provided as the English equivalent.
99,83,working,| arbeiten                                                   | (to) work   **working**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'working' is redundant when the infinitive '(to) work' is already provided as the English equivalent.
100,83,annoying; to be annoyed being annoyed,| ärgern; sichacc. ärgern                                    | (to) annoy   **annoying; to be annoyed   being annoyed**                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
101,83,breathing,| atmen                                                      | (to) breathe   **breathing**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'breathing' is redundant when the infinitive '(to) breathe' is already provided as the English equivalent.
102,83,giving up,| aufgeben                                                   | (to) give up   **giving up**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'giving up' is redundant when the infinitive '(to) give up' is already provided as the English equivalent.
103,83,stopping,| aufhören                                                   | (to) stop   **stopping**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'stopping' is redundant when the infinitive '(to) stop' is already provided as the English equivalent.
104,83,growing up,| aufwachsen                                                 | (to) grow up   **growing up**                                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'growing up' is redundant when the infinitive '(to) grow up' is already provided as the English equivalent.
105,83,spending (money),| ausgeben                                                   | (to) spend (money)   **spending (money)**                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'spending (money)' is redundant when the infinitive '(to) spend (money)' is already provided as the English equivalent.
106,83,"checking out, trying out","| ausprobieren                                               | (to) check out, try out   **checking out, trying out**                                                                                                                                                                                                 |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
107,83,resting,| ausruhen                                                   | (to) rest   **resting**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'resting' is redundant when the infinitive '(to) rest' is already provided as the English equivalent.
108,83,"appearing, looking","| aussehen                                                   | (to) appear, look   **appearing, looking**                                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
109,83,getting off,| aussteigen                                                 | (to) get off   **getting off**                                                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'getting off' is redundant when the infinitive '(to) get off' is already provided as the English equivalent.
110,83,"choosing, selecting","| auswählen                                                  | (to) choose, select; **choosing, selecting**                                                                                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
111,83,baking,| backen                                                     | (to) bake  **baking**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'baking' is redundant when the infinitive '(to) bake' is already provided as the English equivalent.
112,83,meaning,| bedeuten                                                   | (to) mean   **meaning**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'meaning' is redundant when the infinitive '(to) mean' is already provided as the English equivalent.
113,83,beginning,| beginnen                                                   | (to) begin   **beginning**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'beginning' is redundant when the infinitive '(to) begin' is already provided as the English equivalent.
